"word","part_of_speech","definition"
"tomo","verb transitive","to build"
"tomo","verb transitive","to construct"
"tomo","verb transitive","to engineer"
"tu","number","two"
"tu","number","2"
"tu","noun","duo"
"tu","noun","pair"
"tu","verb transitive","to divide"
"tu","verb transitive","to double"
"tu","verb transitive","to separate"
"tu","verb transitive","to cut in two"
"unpa","mod","erotic"
"unpa","mod","sexual"
"unpa","noun","sex"
"unpa","noun","sexuality"
"unpa","verb intransitive","to have sex"
"unpa","verb transitive","to have sex with"
"uta","mod","oral"
"uta","noun","mouth"
"uta","noun","lips"
"uta","noun","oral cavity"
"uta","noun","jaw"
"uta","noun","beak"
"uta","verb transitive","to kiss"
"utala","mod","fighting"
"utala","noun","conflict"
"utala","noun","disharmony"
"utala","noun","fight"
"utala","noun","war"
"utala","noun","battle"
"utala","noun","attack"
"utala","noun","violence"
"utala","verb transitive","to hit"
"utala","verb transitive","to strike"
"utala","verb transitive","to attack"
"utala","verb transitive","to compete against"
"walo","mod","white"
"walo","mod","whitish"
"walo","mod","light-coloured"
"walo","mod","pale"
"walo","noun","white thing or part"
"walo","noun","whiteness"
"walo","noun","lightness"
"walo","verb transitive","to whiten"
"walo","verb transitive","to whitewash"
"wan","number","one"
"wan","number","1"
"wan","noun","unit"
"wan","noun","element"
"wan","noun","particle"
"wan","noun","part"
"wan","noun","piece"
"wan","verb transitive","to unite"
"wan","verb transitive","to make one"
"waso","mod","bird-"
"waso","noun","bird"
"waso","noun","bat"
"waso","noun","flying creature"
"waso","noun","winged animal"
"wawa","mod","energetic"
"wawa","mod","strong"
"wawa","mod","fierce"
"wawa","mod","intense"
"wawa","mod","sure"
"wawa","mod","confident"
"wawa","noun","energy"
"wawa","noun","strength"
"wawa","noun","power"
"wawa","verb transitive","to strengthen"
"wawa","verb transitive","to energize"
"wawa","verb transitive","to empower"
"weka","mod","absent"
"weka","mod","away"
"weka","mod","ignored"
"weka","noun","absence"
"weka","verb transitive","to remove"
"weka","verb transitive","to eliminate"
"weka","verb transitive","to throw away"
"weka","verb transitive","to get rid of"
"wile","noun","desire"
"wile","noun","need"
"wile","noun","will"
"wile","verb transitive","to want"
"wile","verb transitive","need"
"wile","verb transitive","wish"
"wile","verb transitive","have to"
"wile","verb transitive","must"
"wile","verb transitive","will"
"wile","verb transitive","should"
